	mass A					
t	x	y	θ	ω	α	
7.663	-240.0	183.1	-217.3	342.9	434.2
7.697	-269.9	133.5	-206.3	375.3	-262.6
7.730	-300.3	65.63	-192.3	350.0	-1.704E3
7.763	-307.1	16.12	-183.0	240.9	-2.092E3
7.797	-300.5	-19.55	-176.3	208.5	-1.206E3
7.830	-299.0	-57.52	-169.1	173.9	-913.8
7.863	-289.2	-79.16	-164.7	134.6	-1.062E3
7.897	-285.3	-103.0	-160.1	112.9	-936.7
7.930	-279.8	-117.8	-157.2	68.18	-1.309E3
7.963	-276.6	-125.5	-155.6	26.04	-1.259E3
7.997	-276.3	-126.3	-155.4	-15.70	-1.270E3
8.030	-278.8	-120.4	-156.6	-58.40	-1.265E3
8.063	-283.9	-107.1	-159.3	-100.4	-1.211E3
8.097	-290.3	-86.88	-163.3	-139.0	-1.165E3
8.130	-296.3	-59.82	-168.6	-177.6	-1.125E3
8.163	-300.5	-25.37	-175.2	-214.6	-1.034E3
8.197	-300.5	15.18	-182.9	-246.4	-1.084E3
8.230	-294.3	60.38	-191.6	-285.2	-915.6
8.263	-279.5	112.4	-201.9	-311.8	-573.0
8.296	-254.6	161.4	-212.4	-319.9	-408.0
8.330	-219.9	206.6	-223.2	-338.4	-403.9
8.363	-174.0	247.7	-234.9	-349.9	-219.1
8.396	-120.8	278.4	-246.5	-350.4	-138.9
8.430	-61.87	298.1	-258.3	-358.9	-167.5
8.463	2.428	305.4	-270.5	-363.6	-18.68
8.496	66.37	299.4	-282.5	-359.1	170.0
8.530	127.1	280.5	-294.4	-352.4	277.9
8.563	181.4	249.9	-306.0	-340.7	456.7
8.596	227.2	211.2	-317.1	-322.1	546.6
8.630	262.2	167.4	-327.4	-303.3	639.3
8.663	287.3	120.2	-337.3	-281.0	790.2
8.696	303.2	74.66	-346.2	-249.8	953.5
8.730	310.9	33.00	-353.9	-217.2	987.4
8.763	313.1	-3.487	-360.6	-184.2	1.089E3
8.796	312.5	-34.03	-366.2	-145.3	1.201E3
8.830	309.4	-56.33	-370.3	-103.1	1.235E3
8.863	306.4	-71.20	-373.1	-63.17	1.207E3
8.896	304.4	-78.88	-374.5	-22.79	1.226E3
8.930	304.4	-79.30	-374.6	18.61	1.234E3
8.963	306.1	-72.29	-373.3	59.60	1.209E3
8.996	309.1	-58.01	-370.6	99.17	1.160E3
9.029	312.3	-36.57	-366.7	137.0	1.131E3
9.063	314.1	-8.234	-361.5	174.3	1.112E3
9.096	312.6	27.00	-355.1	211.3	1.121E3
9.129	305.7	68.22	-347.4	248.6	922.6
9.163	289.8	114.2	-338.5	274.8	829.7
9.196	266.9	159.7	-329.1	300.4	701.9
9.229	232.2	205.6	-318.5	325.1	676.7
9.263	188.2	245.7	-307.4	342.7	450.9
